"track_artist","track_popularity","playlist_genre","playlist_subgenre","release_date","duration_min","danceability","energy","loudness","speechiness","acousticness","liveness","tempo"
"De Jeugd Van Tegenwoordig",0,"rap","southern hip hop",2013-01-01,5.2273,0.728,0.775,-7.094,0.0999,0.00273,0.0535,114.984
"U-niq",15,"rap","southern hip hop",2008-01-01,3.90645,0.497,0.778,-5.937,0.464,0.0387,0.206,83.13
"Great Minds",34,"rap","southern hip hop",2013-01-01,4.20288333333333,0.8,0.812,-4.55,0.0447,0.0117,0.877,111.038
"Fatlip",0,"rap","southern hip hop",NA,3.3711,0.791,0.646,-3.02,0.337,0.0941,0.113,169.935
"The Notorious B.I.G.",68,"rap","southern hip hop",2007-03-05,3.83333333333333,0.895,0.694,-4.384,0.275,0.176,0.292,93.944
"Ice Cube",69,"rap","southern hip hop",1994-11-22,4.55178333333333,0.934,0.735,-6.668,0.251,0.031,0.107,101.368
"AKI",55,"rap","southern hip hop",2012-01-01,3.38645,0.812,0.784,-5.642,0.16,0.112,0.0925,91.991
"AZ",0,"rap","southern hip hop",2006-11-07,3.05733333333333,0.644,0.808,-4.765,0.276,0.151,0.0687,96.473
"50 Cent",69,"rap","southern hip hop",2003-02-06,3.74045,0.576,0.807,-3.908,0.317,0.353,0.0512,90.012
"JAY-Z",0,"rap","southern hip hop",2013-07-10,4.09645,0.562,0.738,-5.357,0.295,0.0176,0.193,86.084
"JAY-Z",1,"rap","southern hip hop",2013-07-10,4.05688333333333,0.783,0.464,-8.122,0.293,0.0187,0.0699,128.138
"Meek Mill",65,"rap","southern hip hop",2011-05-23,4.17066666666667,0.37,0.87,-2.09,0.271,0.0415,0.604,79.092
"Rick Ross",2,"rap","southern hip hop",2010-01-01,4.51045,0.57,0.58,-5.547,0.209,0.0125,0.0497,171.917
"Jeezy",2,"rap","southern hip hop",2008-01-01,5.35488333333333,0.653,0.77,-6.091,0.0353,0.00342,0.0887,137.616
"JAY-Z",0,"rap","southern hip hop",2013-07-10,4.046,0.544,0.646,-8.031,0.256,0.0311,0.217,88.021
"Dr. Dre",5,"rap","southern hip hop",1999-01-01,3.58778333333333,0.767,0.881,-4.359,0.109,0.191,0.139,169.049
"Dr. Dre",9,"rap","southern hip hop",2010-01-01,4.72888333333333,0.587,0.931,-4.426,0.467,0.103,0.346,155.964
"Dr. Dre",18,"rap","southern hip hop",1999-01-01,2.69333333333333,0.92,0.891,-2.398,0.253,0.0313,0.083,95.295
"Thc",0,"rap","southern hip hop",NA,3.84113333333333,0.654,0.881,-5.557,0.355,0.212,0.281,176.031
"De Jeugd Van Tegenwoordig",0,"rap","southern hip hop",2013-01-01,5.44116666666667,0.659,0.619,-8.377,0.0277,0.00356,0.134,99.998
"Kempi",25,"rap","southern hip hop",2009-01-01,4.68111666666667,0.603,0.809,-5.582,0.0314,0.000132,0.202,124.01
"B.o.B",0,"rap","southern hip hop",2011-09-27,3.7816,0.684,0.713,-4.777,0.211,0.0587,0.122,147.879
"50 Cent",65,"rap","southern hip hop",2003-02-06,3.27711666666667,0.886,0.626,-2.528,0.277,0.265,0.024,93.989
"Winne",19,"rap","southern hip hop",2010-01-01,4.13978333333333,0.689,0.763,-8.62,0.0902,0.0608,0.312,80.973
"Drake",1,"rap","southern hip hop",2013-01-01,2.886,0.79,0.54,-6.959,0.183,0.0391,0.266,86.308
"Dio",47,"rap","southern hip hop",2008-01-01,3.48533333333333,0.875,0.867,-3.754,0.259,0.0632,0.26,98.004
"Drake",10,"rap","southern hip hop",2012-01-01,3.02333333333333,0.774,0.431,-8.407,0.346,0.000146,0.112,201.843
"Rich Gang",41,"rap","southern hip hop",2013-01-01,4.39111666666667,0.686,0.836,-5.811,0.134,0.00582,0.206,81.969
"Ice Cube",62,"rap","southern hip hop",2006-01-01,3.73511666666667,0.755,0.604,-5.436,0.417,0.382,0.125,98.458
"Snoop Dogg",7,"rap","southern hip hop",2004-01-01,4.50778333333333,0.912,0.553,-4.716,0.205,0.188,0.102,91.991
"Eminem",5,"rap","southern hip hop",2004-11-12,4.948,0.52,0.768,-3.489,0.359,0.0193,0.104,79.178
"Eminem",0,"rap","southern hip hop",2009-01-01,5.24266666666667,0.604,0.812,-4.463,0.144,0.0872,0.255,81.563
"The Game",47,"rap","southern hip hop",2005-01-01,3.45733333333333,0.796,0.782,-4.805,0.21,0.146,0.13,99.978
"JAY-Z",7,"rap","southern hip hop",2009-09-08,4.62333333333333,0.495,0.933,-3.977,0.395,0.0294,0.503,173.414
"JAY-Z",0,"rap","southern hip hop",2009-09-08,4.49755,0.553,0.866,-2.316,0.303,0.0697,0.73,80.923
"Drake",2,"rap","southern hip hop",2009-01-01,5.96533333333333,0.459,0.925,-1.327,0.35,0.248,0.174,104.855
"Lupe Fiasco",65,"rap","southern hip hop",2007-01-01,4.81666666666667,0.572,0.822,-6.015,0.361,0.207,0.359,94.812
"Wiz Khalifa",64,"rap","southern hip hop",2011-03-29,4.536,0.72,0.514,-7.108,0.132,0.146,0.107,142.98
"Wiz Khalifa",14,"rap","southern hip hop",2011-03-29,3.78066666666667,0.724,0.586,-6.946,0.188,0.426,0.152,172.067
"Eminem",13,"rap","southern hip hop",2005-12-06,4.18778333333333,0.621,0.672,-3.892,0.276,0.21,0.13,83.808
"Drake",1,"rap","southern hip hop",2013-08-06,3.78378333333333,0.765,0.452,-6.644,0.068,0.0033,0.0916,100.002
"ScHoolboy Q",1,"rap","southern hip hop",2012-01-14,3.28553333333333,0.646,0.778,-7.44,0.103,0.0173,0.0702,127.813
"A$AP Rocky",5,"rap","southern hip hop",2013-01-11,3.20111666666667,0.68,0.843,-4.919,0.241,0.22,0.378,81.958
"The Game",1,"rap","southern hip hop",2008-01-01,5.34821666666667,0.673,0.766,-5.018,0.349,0.0724,0.0563,148.113
"Warren G",0,"rap","southern hip hop",1995-11-17,4.14488333333333,0.86,0.668,-8.411,0.222,0.0985,0.117,95.312
"The Game",1,"rap","southern hip hop",2011-01-01,3.81378333333333,0.476,0.81,-3.414,0.265,0.0803,0.568,83.309
"Busta Rhymes",0,"rap","southern hip hop",2006-01-01,3.58266666666667,0.658,0.551,-6.62,0.37,0.0043,0.197,138.335
"50 Cent",71,"rap","southern hip hop",2003-02-06,3.22445,0.902,0.72,-2.776,0.347,0.26,0.0749,90.059
"Eminem",12,"rap","southern hip hop",2013-11-05,6.05868333333333,0.712,0.838,-2.679,0.313,0.403,0.809,148.138
"Eminem",14,"rap","southern hip hop",2005-12-06,6.74045,0.781,0.74,-5.065,0.208,0.0375,0.449,80.056
"Tyga",64,"rap","southern hip hop",2013-01-01,3.69155,0.761,0.851,-4.371,0.234,0.556,0.104,92.486
"Kid Cudi",44,"rap","southern hip hop",2009-01-01,3.92711666666667,0.468,0.753,-6.761,0.115,0.454,0.368,86.473
"Mac Miller",68,"rap","southern hip hop",2011-05-17,2.76513333333333,0.636,0.901,-7.094,0.118,0.119,0.391,162.994
"Kid Cudi",1,"rap","southern hip hop",2010-01-01,3.50978333333333,0.61,0.761,-8.147,0.0792,0.564,0.338,180.057
"Juicy J",65,"rap","southern hip hop",2013-08-23,4.64711666666667,0.871,0.743,-5.442,0.277,0.00212,0.141,130.977
"Mann",1,"rap","southern hip hop",2010-01-01,3.74,0.724,0.938,-4.171,0.162,0.119,0.313,104.028
"Nas",66,"rap","southern hip hop",NA,4.89955,0.665,0.91,-4.682,0.223,0.0394,0.227,84.099
"The Notorious B.I.G.",76,"rap","southern hip hop",1994-09-13,5.04488333333333,0.889,0.816,-4.67,0.247,0.472,0.204,96.056
"Luniz",73,"rap","southern hip hop",1995-01-01,4.22555,0.6,0.706,-7.899,0.361,0.209,0.125,173.926
"Pete Rock & C.L. Smooth",60,"rap","southern hip hop",1992-05-26,4.77821666666667,0.761,0.683,-10.889,0.164,0.141,0.342,101.787
"Ol' Dirty Bastard",65,"rap","southern hip hop",NA,2.69,0.814,0.481,-5.183,0.245,0.097,0.0495,96.252
"Common",53,"rap","southern hip hop",1994-10-25,4.64511666666667,0.74,0.445,-13.222,0.397,0.074,0.424,91.745
"House Of Pain",74,"rap","southern hip hop",1992-07-21,3.58245,0.854,0.71,-6.32,0.0793,0.0113,0.166,106.894
"Naughty By Nature",64,"rap","southern hip hop",1993-02-23,4.45445,0.862,0.642,-13.652,0.101,0.102,0.272,99.201
"Nas",58,"rap","southern hip hop",NA,4.84288333333333,0.678,0.794,-6.186,0.14,0.274,0.124,87.374
"Souls Of Mischief",68,"rap","southern hip hop",1993-02-13,4.774,0.59,0.672,-11.792,0.412,0.125,0.147,206.247
"Mobb Deep",68,"rap","southern hip hop",1995-04-25,3.74221666666667,0.813,0.703,-5.077,0.268,0.125,0.237,94.828
"Cypress Hill",70,"rap","southern hip hop",1993-07-20,3.47111666666667,0.897,0.612,-10.489,0.211,0.0297,0.0894,102.305
"Snoop Dogg",70,"rap","southern hip hop",NA,4.10533333333333,0.692,0.833,-3.974,0.0492,0.000136,0.515,96.814
"Fugees",10,"rap","southern hip hop",NA,4.33445,0.682,0.505,-11.709,0.138,0.137,0.234,89.954
"Craig Mack",57,"rap","southern hip hop",NA,5.03355,0.52,0.847,-5.3,0.427,0.272,0.325,177.371
"A Tribe Called Quest",52,"rap","southern hip hop",1993-11-09,4.06333333333333,0.852,0.418,-12.823,0.42,0.246,0.126,98.237
"Wu-Tang Clan",72,"rap","southern hip hop",1993-11-09,4.20311666666667,0.479,0.549,-10.551,0.373,0.57,0.127,180.985
"Big L",61,"rap","southern hip hop",1995-03-28,3.62711666666667,0.711,0.62,-10.174,0.212,0.0175,0.134,179.817
"Lords Of The Underground",59,"rap","southern hip hop",1993-01-01,4.12333333333333,0.89,0.716,-9.673,0.296,0.174,0.0657,99.988
"KRS-One",62,"rap","southern hip hop",1993-09-03,4.30845,0.794,0.95,-8.78,0.294,0.124,0.133,94.984
"Wu-Tang Clan",66,"rap","southern hip hop",1993-11-09,4.85111666666667,0.817,0.552,-10.8,0.386,0.032,0.826,102.011
"Onyx",59,"rap","southern hip hop",1993-03-30,3.63888333333333,0.876,0.71,-12.908,0.347,0.0654,0.918,98.305
"KRS-One",58,"rap","southern hip hop",1995-10-10,4.93221666666667,0.855,0.798,-4.018,0.237,0.0101,0.628,90.429
"Gang Starr",61,"rap","southern hip hop",1994-03-08,3.68378333333333,0.808,0.726,-8.435,0.252,0.0208,0.129,96.12
"Raekwon",63,"rap","southern hip hop",NA,4.22045,0.683,0.902,-7.389,0.291,0.219,0.226,90.447
"Das EFX",58,"rap","southern hip hop",1995-09-26,4.12688333333333,0.858,0.76,-7.895,0.254,0.0217,0.322,93.082
"Smif-N-Wessun",58,"rap","southern hip hop",NA,3.962,0.769,0.836,-4.15,0.244,0.0618,0.182,88.978
"Das EFX",55,"rap","southern hip hop",1992-04-07,3.69,0.755,0.459,-12.84,0.358,0.115,0.0851,98.454
"Black Moon",55,"rap","southern hip hop",NA,4.50111666666667,0.805,0.653,-11.251,0.185,0.138,0.1,100.349
"GZA",64,"rap","southern hip hop",1995-01-01,3.49955,0.704,0.642,-10.11,0.39,0.00704,0.161,92.09
"Wu-Tang Clan",60,"rap","southern hip hop",1993-11-09,2.95111666666667,0.889,0.466,-10.74,0.36,0.0846,0.384,100.17
"Nas",51,"rap","southern hip hop",NA,4.21,0.702,0.832,-4.964,0.318,0.02,0.189,92.362
"Ol' Dirty Bastard",59,"rap","southern hip hop",NA,3.62511666666667,0.704,0.701,-8.031,0.46,0.549,0.664,92.032
"Lord Finesse",61,"rap","southern hip hop",1996-02-20,4.05178333333333,0.769,0.752,-6,0.324,0.031,0.0564,90.225
"Group Home",51,"rap","southern hip hop",1995-01-01,4.24888333333333,0.808,0.765,-7.363,0.302,0.00916,0.0515,92.044
"Redman",62,"rap","southern hip hop",1992-01-01,3.35621666666667,0.697,0.687,-11.111,0.379,0.26,0.403,90.247
"Jeru The Damaja",50,"rap","southern hip hop",1994-05-24,4.95066666666667,0.812,0.778,-13.957,0.292,0.6,0.11,87.713
"Heltah Skeltah",44,"rap","southern hip hop",1996-01-01,5.05498333333333,0.812,0.555,-10.879,0.353,0.0236,0.132,92.062
"Mobb Deep",56,"rap","southern hip hop",1995-04-25,4.05221666666667,0.782,0.597,-6.399,0.335,0.0568,0.582,94.631
"Big L",53,"rap","southern hip hop",1995-03-28,3.64778333333333,0.857,0.672,-5.934,0.16,0.0649,0.355,86.777
"Artifacts",53,"rap","southern hip hop",1994-10-25,4.33666666666667,0.861,0.56,-9.974,0.299,0.148,0.439,88.299
"Grand Puba",59,"rap","southern hip hop",1995-06-20,4.39221666666667,0.865,0.641,-6.652,0.162,0.0611,0.218,95.307
"Jeru The Damaja",58,"rap","southern hip hop",1996-01-01,4.42555,0.687,0.597,-10.741,0.374,0.0314,0.0348,169.691
"Black Moon",40,"rap","southern hip hop",NA,3.66733333333333,0.876,0.657,-11.17,0.169,0.0171,0.217,88.966
"Group Home",42,"rap","southern hip hop",1995-01-01,5.36045,0.707,0.776,-7.378,0.278,0.0195,0.216,91.283
"Blahzay Blahzay",46,"rap","southern hip hop",1996-08-13,3.75445,0.723,0.739,-7.943,0.401,0.403,0.365,177.886
"Channel Live",41,"rap","southern hip hop",1995-01-01,4.25888333333333,0.901,0.655,-10.085,0.273,0.00743,0.173,96.005
"Showbiz & A.G.",53,"rap","southern hip hop",1995-01-01,4.16555,0.87,0.498,-12.095,0.29,0.000671,0.0551,92.887
"Das EFX",45,"rap","southern hip hop",1993-11-16,3.57111666666667,0.814,0.531,-11.559,0.194,0.00415,0.27,95.187
"GZA",59,"rap","southern hip hop",1995-01-01,4.51333333333333,0.798,0.624,-7.249,0.391,0.417,0.34,89.02
"Lords Of The Underground",50,"rap","southern hip hop",1993-01-01,4.51778333333333,0.857,0.635,-9.532,0.198,0.0355,0.13,96.589
"Artifacts",56,"rap","southern hip hop",1994-10-25,4.07178333333333,0.651,0.61,-6.078,0.312,0.109,0.169,166.079
"The Notorious B.I.G.",58,"rap","southern hip hop",1994-09-13,3.958,0.622,0.711,-8.213,0.414,0.186,0.107,173.396
"Kool G Rap & DJ Polo",29,"rap","southern hip hop",NA,3.82221666666667,0.723,0.57,-12.316,0.463,0.111,0.174,178.112
"Smif-N-Wessun",52,"rap","southern hip hop",NA,4.32421666666667,0.708,0.305,-14.003,0.817,0.138,0.139,174.154
"O.G.C.",35,"rap","southern hip hop",1996-01-01,4.144,0.868,0.51,-13.14,0.307,0.337,0.0738,89.866
"Crooklyn Dodgers",53,"rap","southern hip hop",1994-01-16,4.55755,0.842,0.478,-9.742,0.221,0.0234,0.892,95.457
"Rakim",54,"rap","southern hip hop",1996-11-04,3.96111666666667,0.745,0.547,-7.409,0.295,0.00958,0.0844,177.398
"Black Moon",36,"rap","southern hip hop",NA,4.25333333333333,0.726,0.398,-12.767,0.241,0.213,0.127,91.599
"Grand Puba",37,"rap","southern hip hop",1992-09-29,4.02778333333333,0.945,0.364,-12.81,0.164,0.0634,0.0938,102.39
"Big L",48,"rap","southern hip hop",1995-03-28,4.16045,0.773,0.63,-8.039,0.432,0.142,0.237,173.922
"Wu-Tang Clan",63,"rap","southern hip hop",1993-11-09,4.19111666666667,0.794,0.627,-9.431,0.36,0.234,0.35,87.554
"Wu-Tang Clan",54,"rap","southern hip hop",1993-11-09,4.55533333333333,0.707,0.617,-12.519,0.303,0.22,0.13,96.051
"Wu-Tang Clan",56,"rap","southern hip hop",1993-11-09,6.10511666666667,0.857,0.488,-11.457,0.407,0.428,0.284,92.102
"Wu-Tang Clan",52,"rap","southern hip hop",1993-11-09,6.88333333333333,0.677,0.252,-17.794,0.555,0.819,0.234,91.484
"Wu-Tang Clan",60,"rap","southern hip hop",1993-11-09,4.79733333333333,0.925,0.388,-10.508,0.419,0.334,0.332,105.056
"Wu-Tang Clan",60,"rap","southern hip hop",1993-11-09,5.84266666666667,0.903,0.519,-10.109,0.307,0.0286,0.328,101.561
"Wu-Tang Clan",58,"rap","southern hip hop",1993-11-09,4.29578333333333,0.914,0.394,-10.239,0.365,0.189,0.0982,91.504
"The Notorious B.I.G.",52,"rap","southern hip hop",1994-09-13,3.96845,0.742,0.63,-6.95,0.254,0.0244,0.0716,90.905
"The Notorious B.I.G.",64,"rap","southern hip hop",1994-09-13,5.06911666666667,0.713,0.647,-8.22,0.439,0.0867,0.636,94.036
"The Notorious B.I.G.",60,"rap","southern hip hop",1994-09-13,4.26488333333333,0.841,0.738,-5.317,0.3,0.102,0.0901,93.725
"The Notorious B.I.G.",60,"rap","southern hip hop",1994-09-13,3.67488333333333,0.594,0.785,-7.598,0.461,0.356,0.139,171.755
"The Notorious B.I.G.",56,"rap","southern hip hop",1994-09-13,4.40911666666667,0.724,0.841,-5.713,0.309,0.0633,0.487,84.991
"The Notorious B.I.G.",53,"rap","southern hip hop",1994-09-13,4.71755,0.848,0.698,-5.73,0.338,0.107,0.174,94.066
"The Notorious B.I.G.",57,"rap","southern hip hop",1994-09-13,5.32333333333333,0.912,0.721,-6.456,0.266,0.0689,0.12,96.139
"The Notorious B.I.G.",52,"rap","southern hip hop",1994-09-13,3.72845,0.769,0.791,-7.679,0.261,0.179,0.258,182.949
"The Notorious B.I.G.",68,"rap","southern hip hop",1994-09-13,5.32288333333333,0.828,0.686,-5.689,0.218,0.273,0.524,91.713
"Pete Rock & C.L. Smooth",29,"rap","southern hip hop",1992-05-26,5.744,0.734,0.503,-13.693,0.289,0.0143,0.124,93.872
"Pete Rock & C.L. Smooth",34,"rap","southern hip hop",1992-05-26,5.91066666666667,0.671,0.705,-12.515,0.172,0.34,0.105,97.18
"Pete Rock & C.L. Smooth",26,"rap","southern hip hop",1992-05-26,5.04978333333333,0.727,0.793,-12.555,0.127,0.0924,0.313,93.647
"Pete Rock & C.L. Smooth",27,"rap","southern hip hop",1992-05-26,4.06,0.756,0.748,-9.818,0.127,0.11,0.0734,101.845
"Pete Rock & C.L. Smooth",52,"rap","southern hip hop",1992-05-26,4.22355,0.77,0.656,-11.169,0.246,0.11,0.0793,98.82
"Pete Rock & C.L. Smooth",25,"rap","southern hip hop",1992-05-26,4.12266666666667,0.766,0.728,-11.585,0.187,0.623,0.141,104.741
"Pete Rock & C.L. Smooth",24,"rap","southern hip hop",1992-05-26,5.55888333333333,0.805,0.648,-12.46,0.321,0.0325,0.04,94.881
"Pete Rock & C.L. Smooth",26,"rap","southern hip hop",1992-05-26,5.2,0.702,0.711,-11.172,0.374,0.362,0.0832,98.717
"Pete Rock & C.L. Smooth",27,"rap","southern hip hop",1992-05-26,4.28066666666667,0.679,0.783,-11.118,0.0861,0.243,0.343,92.847
"Pete Rock & C.L. Smooth",31,"rap","southern hip hop",1992-05-26,5.436,0.647,0.751,-10.782,0.368,0.0138,0.068,173.783
"Pete Rock & C.L. Smooth",25,"rap","southern hip hop",1992-05-26,4.25555,0.759,0.689,-10.498,0.363,0.281,0.132,93.79
"House Of Pain",40,"rap","southern hip hop",1992-07-21,3.036,0.827,0.676,-9.735,0.262,0.0257,0.079,97.835
"House Of Pain",48,"rap","southern hip hop",1992-07-21,3.60533333333333,0.827,0.619,-10.173,0.11,0.00365,0.337,111.083
"House Of Pain",36,"rap","southern hip hop",1992-07-21,3.65333333333333,0.902,0.524,-8.394,0.109,0.00177,0.0854,92.986
"House Of Pain",43,"rap","southern hip hop",1992-07-21,3.65178333333333,0.904,0.606,-6.122,0.286,0.296,0.236,100.195
"Jeremih",6,"rap","southern hip hop",2015-12-04,4.44733333333333,0.846,0.527,-5.229,0.111,0.424,0.11,98.067
"YG",1,"rap","southern hip hop",2016-06-17,3.27645,0.927,0.362,-9.329,0.591,0.0442,0.139,93.008
"Tyga",47,"rap","southern hip hop",2014-11-22,3.20305,0.854,0.741,-7.957,0.192,0.244,0.21,97.978
"Desiigner",11,"rap","southern hip hop",2016-02-26,4.13111666666667,0.679,0.734,-5.542,0.444,0.0241,0.369,145.028
"Kent Jones",66,"rap","southern hip hop",2016-04-25,3.30395,0.464,0.771,-4.503,0.336,0.0235,0.063,158.777
"Fifth Harmony",66,"rap","southern hip hop",2016-05-27,3.50955,0.689,0.791,-5.194,0.053,0.023,0.0526,95.04
"Fifth Harmony",78,"rap","southern hip hop",2016-05-27,3.57466666666667,0.803,0.585,-5.861,0.0432,0.103,0.0644,105.017
"Fetty Wap",0,"rap","southern hip hop",2016-04-22,3.73333333333333,0.647,0.673,-5.992,0.176,0.172,0.223,179.971
"2 Chainz",59,"rap","southern hip hop",2012-01-01,3.45066666666667,0.936,0.702,-5.305,0.0615,0.0473,0.0838,97.524
"Tyga",60,"rap","southern hip hop",2012-01-01,3.44445,0.831,0.667,-8.438,0.188,0.0103,0.35,95.073
"The Chainsmokers",81,"rap","southern hip hop",2016-02-05,3.47288333333333,0.532,0.869,-5.094,0.172,0.157,0.136,159.803
"JAY-Z",77,"rap","southern hip hop",2011-08-08,3.65555,0.788,0.859,-5.542,0.315,0.127,0.348,140.027
"DRAM",69,"rap","southern hip hop",2016-04-06,3.75341666666667,0.886,0.525,-7.39,0.132,0.236,0.057,145.99
"Future",62,"rap","southern hip hop",2016-04-13,2.88911666666667,0.718,0.679,-5.899,0.0706,0.00191,0.385,157.97
"DJ Khaled",56,"rap","southern hip hop",2016-06-17,3.06158333333333,0.916,0.571,-8.241,0.2,0.0173,0.153,103.521
"Macklemore & Ryan Lewis",9,"rap","southern hip hop",2015-08-27,4.87655,0.828,0.609,-4.402,0.0694,0.0916,0.291,109.725
"Future",67,"rap","southern hip hop",2015-07-17,3.46711666666667,0.813,0.453,-6.941,0.338,0.0933,0.14,161.997
"Silentó",68,"rap","southern hip hop",2015-05-04,3.08571666666667,0.821,0.759,-8.541,0.121,0.247,0.321,140.01
"Drake",10,"rap","southern hip hop",2016-05-06,4.08711666666667,0.607,0.476,-11.076,0.249,0.0773,0.113,122.976
"Major Lazer",52,"rap","southern hip hop",2015-11-27,2.76896666666667,0.746,0.877,-3.782,0.0666,0.0375,0.233,107.985
"Rihanna",31,"rap","southern hip hop",2016-01-28,3.65533333333333,0.725,0.534,-6.238,0.0946,0.0752,0.0919,91.974
"DJ Khaled",47,"rap","southern hip hop",2016-08-05,3.66265,0.686,0.623,-3.425,0.13,0.00287,0.219,140.171
"Drake",73,"rap","southern hip hop",2011-11-15,3.02621666666667,0.766,0.442,-8.558,0.356,0.000107,0.111,201.8
"Ty Dolla $ign",60,"rap","southern hip hop",2015-11-13,4.754,0.897,0.642,-8.828,0.0534,0.0219,0.159,127.984
"Kanye West",4,"rap","southern hip hop",2012-09-06,4.89221666666667,0.543,0.564,-4.996,0.345,0.0545,0.193,109.297
"Kevin Gates",70,"rap","southern hip hop",2016-01-29,3.86821666666667,0.762,0.666,-6.055,0.0916,0.00427,0.127,118.97
"Kevin Gates",70,"rap","southern hip hop",2016-01-29,4,0.895,0.681,-5.267,0.358,0.157,0.189,121.918
"MHD",3,"rap","southern hip hop",2016-04-15,2.28555,0.956,0.726,-5.775,0.397,0.158,0.0673,123.061
"MHD",0,"rap","southern hip hop",2016-04-15,2.59511666666667,0.952,0.758,-4.628,0.266,0.0181,0.0447,126.981
"Wiz Khalifa",67,"rap","southern hip hop",2014-08-19,3.74888333333333,0.717,0.862,-4.736,0.054,0.00689,0.321,130.021
"Stromae",15,"rap","southern hip hop",2013-01-01,3.86911666666667,0.733,0.818,-7.222,0.0859,0.0241,0.0636,116.019
"Stromae",20,"rap","southern hip hop",2010-01-01,3.43445,0.79,0.59,-9.206,0.0793,0.0994,0.065,119.951
"Jerry Purpdrank",36,"rap","southern hip hop",2016-04-01,3.29883333333333,0.488,0.729,-7.59,0.24,0.14,0.393,134.912
"Fat Joe",68,"rap","southern hip hop",2016-03-02,3.19903333333333,0.536,0.721,-6.44,0.386,0.062,0.824,117.139
"50 Cent",77,"rap","southern hip hop",2003-02-06,3.22445,0.899,0.713,-2.752,0.366,0.255,0.0708,90.051
"50 Cent",7,"rap","southern hip hop",2005-03-03,3.46906666666667,0.619,0.578,-8.002,0.474,0.0214,0.387,123.719
"50 Cent",74,"rap","southern hip hop",2003-02-06,4.158,0.712,0.772,-3.024,0.346,0.0521,0.0368,84.722
"Ludacris",2,"rap","southern hip hop",2010-01-01,3.35978333333333,0.784,0.498,-6.977,0.0533,0.00248,0.224,143.96
"Chance the Rapper",69,"rap","southern hip hop",2016-05-27,2.35903333333333,0.704,0.777,-5.729,0.195,0.0358,0.151,111.921
"Drake",12,"rap","southern hip hop",2016-05-06,4.38955,0.804,0.648,-7.805,0.117,0.0573,0.102,117.983
"Lil Wayne",77,"rap","southern hip hop",2016-06-24,4.05818333333333,0.502,0.786,-4.378,0.317,0.255,0.65,169.021
"Rihanna",16,"rap","southern hip hop",2016-01-28,3.65533333333333,0.725,0.534,-6.238,0.0946,0.0752,0.0919,91.974
"Chance the Rapper",74,"rap","southern hip hop",2016-05-27,5.07678333333333,0.652,0.795,-5.192,0.174,0.156,0.123,135.018
"Hopsin",38,"rap","southern hip hop",2015-07-24,1.6,0.734,0.584,-6.884,0.43,0.148,0.383,130.193
"A$AP Ferg",71,"rap","southern hip hop",2013-08-19,4.72821666666667,0.841,0.733,-5.077,0.142,0.0246,0.174,130.009
"YG",0,"rap","southern hip hop",2016-08-05,3.70621666666667,0.812,0.554,-6.507,0.457,0.229,0.362,96.848
"T-Wayne",65,"rap","southern hip hop",2015-05-04,2.3702,0.779,0.472,-7.116,0.218,0.0577,0.114,135.051
"Rune RK",3,"rap","southern hip hop",2014-10-27,3.6875,0.636,0.879,-2.862,0.0702,0.000732,0.324,128.004
"Tyga",64,"rap","southern hip hop",2012-01-01,3.38666666666667,0.929,0.339,-10.881,0.371,0.0373,0.187,98.986
"Big Sean",67,"rap","southern hip hop",2015-02-24,5.33288333333333,0.744,0.334,-11.314,0.0757,0.327,0.116,119.976
"Mustard",61,"rap","southern hip hop",2015-11-20,2.81068333333333,0.745,0.869,-4.375,0.0444,0.00193,0.0799,104.015
"Nicki Minaj",73,"rap","southern hip hop",2012-01-01,3.51045,0.747,0.716,-2.457,0.075,0.135,0.251,125.008
"David Guetta",66,"rap","southern hip hop",2012-12-07,3.35,0.691,0.921,-1.702,0.0533,0.173,0.331,130.072
"David Guetta",66,"rap","southern hip hop",2010-02-12,3.514,0.546,0.899,-3.937,0.233,0.00158,0.229,130.003
"Flo Rida",76,"rap","southern hip hop",2012-06-22,3.88245,0.608,0.86,-5.324,0.0554,0.0991,0.262,127.075
"Usher",79,"rap","southern hip hop",2004-03-23,4.17288333333333,0.894,0.791,-4.699,0.112,0.0183,0.0388,105.018
"Kid Ink",62,"rap","southern hip hop",2015-03-17,3.53181666666667,0.696,0.801,-5.641,0.0952,0.0469,0.502,93.003
"Chris Brown",11,"rap","southern hip hop",2014-09-12,4.41578333333333,0.845,0.506,-5.971,0.0409,0.0228,0.0879,99.051
"Tyga",0,"rap","southern hip hop",2016-01-15,3.99218333333333,0.709,0.635,-6.79,0.247,0.0386,0.406,162.093
"Justin Bieber",21,"rap","southern hip hop",2015-11-13,3.34645,0.654,0.76,-3.669,0.045,0.0797,0.299,99.945
"YG",9,"rap","southern hip hop",2010-03-16,3.56466666666667,0.877,0.498,-8.634,0.236,0.163,0.309,91.047
"Wiz Khalifa",18,"rap","southern hip hop",2015-03-10,3.82543333333333,0.689,0.481,-7.503,0.0815,0.369,0.0649,80.025
"Fetty Wap",68,"rap","southern hip hop",2015-09-25,5.204,0.748,0.733,-4.421,0.072,0.0062,0.329,93.019
"Tyga",55,"rap","southern hip hop",2016-06-17,3.4619,0.681,0.567,-7.353,0.382,0.174,0.0653,73.009
"Kid Ink",45,"rap","southern hip hop",2015-12-25,3.12421666666667,0.735,0.488,-9.073,0.212,0.0636,0.131,99.043
